Артикул	Наименование товара	Розничные	Оптовые	Дилерские	Спец.	Ед.изм.	
"01 Панели пластиковые. 01 Панели пластик ""Люкс"" 0,167 х 2,7 м,  цены в EUR"							
							
10842	Профиль 112 P9 зеленый	0,97	0,84	0,76	0,55	м.п.	1,2125
10892	Профиль 112 Р10 синий (6 м)	0,97	0,84	0,76	0,55	м.п.	1,2125
10853	Профиль 112 светло-коричневый	0,91	0,86	0,84	0,82	м.п.	1,1375
10865	Профиль 115 Р1 (6м) 10х10 мм	0,78	0,62	0,56	0,47	м.п.	0,975
10885	Профиль 115 Р2 (6м) 10х10 мм	0,78	0,62	0,56	0,47	м.п.	0,975
10866	Профиль 116 Р1 (6м) 15х15 мм	0,78	0,62	0,56	0,47	м.п.	0,975
10880	Профиль 116 Р2 (6м) 15х15 мм	0,78	0,62	0,56	0,47	м.п.	0,975
10843	Профиль 117 Р1 (6м) 20х20 мм	0,78	0,62	0,56	0,47	м.п.	0,975
10844	Профиль 117 Р2 (6м) 20х20 мм	0,78	0,62	0,56	0,47	м.п.	0,975
10869	Профиль 118 Р1 (6м) 25х25 мм	0,78	0,62	0,56	0,47	м.п.	0,975
10876	Профиль 118 Р2 (6м) 25х25 мм	0,78	0,62	0,56	0,47	м.п.	0,975
10845	Профиль 119 Р1 (6м) 30х30 мм	0,78	0,62	0,56	0,47	м.п.	0,975
10846	Профиль 119 Р2 (6м) 30х30 мм	0,78	0,62	0,56	0,47	м.п.	0,975
10867	Профиль 120 Р1 (6м) 40х40мм	1,24	1,15	0,92	0,88	м.п.	1,55
10886	Профиль 120 Р2 (6м) 40х40мм	1,24	1,15	0,92	0,88	м.п.	1,55
10868	Профиль 121 Р1 (6м) 50х50мм	1,56	1,46	1,03	0,98	м.п.	1,95
10887	Профиль 121 Р2 (6м) 50х50мм	1,56	1,46	1,03	0,98	м.п.	1,95
10877	Профиль 122 Р1 (6м) 25х50мм	1,24	1,15	0,92	0,88	м.п.	1,55
10884	Профиль 25x50 Р2 (6м)	1,03	0,97	0,91	0,78	м.п.	1,2875
10881	Профиль 35x35 Р1 (6м)	0,83	0,66	0,60	0,49	м.п.	1,0375
10882	Профиль 35x35 Р2 (6м)	0,83	0,66	0,60	0,49	м.п.	1,0375
							
01 Панели пластиковые. 01 Профиль пластиковый (Харьков, Одесса),  цены в $							
							
10859	Профиль 100-II P1 (3м)	0,20	0,16	0,16	0,16	м.п.	
10801	Профиль 100 P1	0,40	0,34	0,30	0,23	м.п.	
